[0] 糖类 | src=考纲 | ch=
[1] 糖的主要分类及其各自的代表 | src=考纲 | ch=
[2] 糖聚合物及其代表和它们的生物学功能 | src=考纲 | ch=
[3] 脂类与生物膜 | src=考纲 | ch=
[4] 生物体内脂质的分类，其代表脂及各自特点 | src=考纲 | ch=
[5] 脂质的化学结构及其功能 | src=考纲 | ch=
[6] 生物膜的化学组成和结构，“流体镶嵌模型”的要点 | src=考纲 | ch=
[7] 蛋白质 | src=考纲 | ch=
[8] 蛋白质的化学组成，20种氨基酸的简写符号 | src=考纲 | ch=
[9] 氨基酸的理化性质及化学反应 | src=考纲 | ch=
[10] 蛋白质分子的结构（一级、二级、高级结构的概念及形式） | src=考纲 | ch=
[11] 蛋白质一级结构测定的一般步骤 | src=考纲 | ch=
[12] 蛋白质的理化性质及分离纯化和纯度鉴定的方法 | src=考纲 | ch=
[13] 蛋白质的变性作用 | src=考纲 | ch=
[14] 蛋白质结构与功能的关系 | src=考纲 | ch=
[15] 核酸 | src=考纲 | ch=
[16] 核酸的基本化学组成及分类 | src=考纲 | ch=
[17] 核苷酸的结构 | src=考纲 | ch=
[18] DNA和RNA一级结构的概念和二级结构特点；DNA的三级结构 | src=考纲 | ch=
[19] RNA的分类及各类RNA的生物学功能 | src=考纲 | ch=
[20] 核酸的主要理化特性 | src=考纲 | ch=
[21] 酶学 | src=考纲 | ch=
[22] 酶的作用特点 | src=考纲 | ch=
[23] 酶的作用机理 | src=考纲 | ch=
[24] 影响酶促反应的因素 | src=考纲 | ch=
[25] 酶的提纯与活力鉴定的基本方法 | src=考纲 | ch=
[26] 常见酶的种类、结构与功能 | src=考纲 | ch=
[27] 维生素和辅酶 | src=考纲 | ch=
[28] 维生素的分类及性质 | src=考纲 | ch=
[29] 各种维生素的活性形式、生理功能 | src=考纲 | ch=
[30] 激素 | src=考纲 | ch=
[31] 激素的分类，植物激素的结构和功能 | src=考纲 | ch=
[32] 激素的化学本质和作用机制 | src=考纲 | ch=
[33] 新陈代谢和生物能学 | src=考纲 | ch=
[34] 新陈代谢的概念、类型及其特点 | src=考纲 | ch=
[35] ATP与高能磷酸化合物 | src=考纲 | ch=
[36] ATP的生物学功能 | src=考纲 | ch=
[37] 电子传递过程与ATP的生成 | src=考纲 | ch=
[38] 呼吸链的组分、呼吸链中传递体的排列顺序 | src=考纲 | ch=
[39] 氧化磷酸化作用 | src=考纲 | ch=
[40] 糖的分解代谢和合成代谢 | src=考纲 | ch=
[41] 糖的代谢途径，包括物质代谢、能量代谢和有关的酶 | src=考纲 | ch=
[42] 糖的无氧分解、有氧氧化的概念、部位和过程 | src=考纲 | ch=
[43] 戊糖磷酸途径的主要过程和生物学意义 | src=考纲 | ch=
[44] 糖异生作用的概念、场所、原料及主要途径 | src=考纲 | ch=
[45] 糖原合成和分解作用的概念、反应步骤及限速酶 | src=考纲 | ch=
[46] 糖酵解、丙酮酸的氧化脱羧和三羧酸循环的反应过程及催化反应的关键酶 | src=考纲 | ch=
[47] 脂类的代谢与合成 | src=考纲 | ch=
[48] 脂肪动员的概念、限速酶；甘油代谢 | src=考纲 | ch=
[49] 脂肪酸的β-氧化过程及其能量的计算 | src=考纲 | ch=
[50] 酮体的生成和利用 | src=考纲 | ch=
[51] 脂肪酸合成的场所、原料及过程 | src=考纲 | ch=
[52] 胆固醇合成的部位、原料及胆固醇的转化及排泄 | src=考纲 | ch=
[53] 核酸的代谢 | src=考纲 | ch=
[54] 外源核酸的消化和吸收 | src=考纲 | ch=
[55] 碱基的分解 | src=考纲 | ch=
[56] 嘌呤、嘧啶核苷酸的生物合成 | src=考纲 | ch=
[57] 氨基酸代谢 | src=考纲 | ch=
[58] 氨基酸的分解 | src=考纲 | ch=
[59] 氨基酸及其衍生物的合成 | src=考纲 | ch=
[60] DNA、RNA的合成 | src=考纲 | ch=
[61] DNA复制的一般规律 | src=考纲 | ch=
[62] 参与DNA复制的酶类与蛋白质因子的种类和作用（重点是原核生物的DNA聚合酶） | src=考纲 | ch=
[63] DNA复制的基本过程 | src=考纲 | ch=
[64] 真核生物与原核生物DNA复制的比较 | src=考纲 | ch=
[65] 转录的基本概念；参与转录的酶及有关因子 | src=考纲 | ch=
[66] 原核生物的转录过程 | src=考纲 | ch=
[67] RNA转录后加工的意义 | src=考纲 | ch=
[68] mRNA、tRNA、rRNA的转录后加工过程 | src=考纲 | ch=
[69] 逆转录的过程 | src=考纲 | ch=
[70] 逆转录病毒的生活周期 | src=考纲 | ch=
[71] RNA的复制：单链RNA病毒的RNA复制，双链RNA病毒的RNA复制 | src=考纲 | ch=
[72] RNA传递加工遗传信息 | src=考纲 | ch=
[73] 蛋白质的合成和加工 | src=考纲 | ch=
[74] mRNA在蛋白质生物合成中的作用、原理和密码子的概念、特点 | src=考纲 | ch=
[75] tRNA、核糖体在蛋白质生物合成中的作用和原理 | src=考纲 | ch=
[76] 参与蛋白质生物合成的主要分子的种类和功能 | src=考纲 | ch=
[77] 蛋白质生物合成的过程 | src=考纲 | ch=
[78] 翻译后的加工过程 | src=考纲 | ch=
[79] 真核生物与原核生物蛋白质合成的区别 | src=考纲 | ch=
[80] 蛋白质合成的抑制剂 | src=考纲 | ch=
[81] 基因表达调控 | src=考纲 | ch=
[82] 基因表达调控的基本原理 | src=考纲 | ch=
[83] 原核生物和真核生物基因表达调控的区别 | src=考纲 | ch=
[84] 转录水平上的基因表达调控和翻译水平上的基因表达调控 | src=考纲 | ch=
[85] 翻译后加工和蛋白质降解的调节 | src=考纲 | ch=
