0: 糖类 (source=考纲, hint=)
1: 糖的主要分类及其各自的代表 (source=考纲, hint=)
2: 糖聚合物及其代表和它们的生物学功能 (source=考纲, hint=)
33: 新陈代谢和生物能学 (source=考纲, hint=)
34: 新陈代谢的概念、类型及其特点 (source=考纲, hint=)
35: ATP与高能磷酸化合物 (source=考纲, hint=)
36: ATP的生物学功能 (source=考纲, hint=)
37: 电子传递过程与ATP的生成 (source=考纲, hint=)
38: 呼吸链的组分、呼吸链中传递体的排列顺序 (source=考纲, hint=)
39: 氧化磷酸化作用 (source=考纲, hint=)
40: 糖的分解代谢和合成代谢 (source=考纲, hint=)
41: 糖的代谢途径，包括物质代谢、能量代谢和有关的酶 (source=考纲, hint=)
42: 糖的无氧分解、有氧氧化的概念、部位和过程 (source=考纲, hint=)
43: 戊糖磷酸途径的主要过程和生物学意义 (source=考纲, hint=)
44: 糖异生作用的概念、场所、原料及主要途径 (source=考纲, hint=)
45: 糖原合成和分解作用的概念、反应步骤及限速酶 (source=考纲, hint=)
46: 糖酵解、丙酮酸的氧化脱羧和三羧酸循环的反应过程及催化反应的关键酶 (source=考纲, hint=)
47: 脂类的代谢与合成 (source=考纲, hint=)
48: 脂肪动员的概念、限速酶；甘油代谢 (source=考纲, hint=)
49: 脂肪酸的β-氧化过程及其能量的计算 (source=考纲, hint=)
53: 核酸的代谢 (source=考纲, hint=)
57: 氨基酸代谢 (source=考纲, hint=)
75: tRNA、核糖体在蛋白质生物合成中的作用和原理 (source=考纲, hint=)
